,Algorithm,BuiltOn,CoinName,FullName,FullyPremined,Id,ImageUrl,Name,PreMinedValue,ProofType,SmartContractAddress,SortOrder,Sponsored,Symbol,TotalCoinSupply,TotalCoinsFreeFloat,Url
007,Scrypt,N/A,007 coin,007 coin (007),0,5294,/media/350595/007.png,007,N/A,PoW,N/A,263,False,007,989800,N/A,/coins/007/overview
0XBTC,N/A,7605,0xBitcoin,0xBitcoin (0xBTC),0,877383,/media/32655871/0xbtc.jpg,0xBTC,N/A,N/A,0xb6ed7644c69416d67b522e20bc294a9a9b405b31,2691,False,0XBTC,21000000,N/A,/coins/0xbtc/overview
0xDIARY,N/A,7605,The 0xDiary Token,The 0xDiary Token (0xDIARY),0,913090,/media/34155551/0xdiary.jpg,0xDIARY,N/A,N/A,N/A,2961,False,0xDIARY,1000000,N/A,/coins/0xdiary/overview
1337,X13,N/A,1337,1337 (1337),0,20824,/media/350976/1337.png,1337,N/A,PoW/PoS,N/A,577,False,1337,314159265359,N/A,/coins/1337/overview
1CR,Scrypt,N/A,1Credit,1Credit (1CR),0,5406,/media/20175/1cr.png,1CR,N/A,PoW,N/A,374,False,1CR,92000000000,N/A,/coins/1cr/overview
1ST,N/A,7605,FirstBlood,FirstBlood (1ST),1,28328,/media/351524/1st.png,1ST,N/A,N/A,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,759,False,1ST,93468691,N/A,/coins/1st/overview
1WO,N/A,7605,1World,1World (1WO),0,925200,/media/34478178/1world.png,1WO,N/A,N/A,0xfdbc1adc26f0f8f8606a5d63b7d3a3cd21c22b23,3245,False,1WO,37219452.96,N/A,/coins/1wo/overview
2015,X11,N/A,2015 coin,2015 coin (2015),0,3744,/media/20180/2015.png,2015,N/A,PoW/PoS,N/A,33,False,2015,0,N/A,/coins/2015/overview
2BACCO,Scrypt,N/A,2BACCO Coin,2BACCO Coin (2BACCO),0,30912,/media/351869/2bacco.png,2BACCO,N/A,PoW/PoS,N/A,874,False,2BACCO,81454545,N/A,/coins/2bacco/overview
2GIVE,Scrypt,N/A,2GiveCoin,2GiveCoin (2GIVE),0,20910,/media/350986/2give.png,2GIVE,N/A,PoW/PoS,N/A,587,False,2GIVE,N/A,N/A,/coins/2give/overview
2TF,N/A,7605,2TF,2TF (2TF),0,926754,/media/35264225/2tf.png,2TF,N/A,N/A,N/A,3577,False,2TF,300000000,N/A,/coins/2tf/overview
300,N/A,7605,300 token,300 token (300),0,749869,/media/27010595/300.png,300,N/A,N/A,0xaec98a708810414878c3bcdf46aad31ded4a4557,2212,False,300,300,N/A,/coins/300/overview
32BIT,X11,N/A,32Bitcoin,32Bitcoin (32BIT),0,30428,/media/351763/32bit.png,32BIT,N/A,PoW/PoS,N/A,863,False,32BIT,355000,N/A,/coins/32bit/overview
365,X11,N/A,365Coin,365Coin (365),0,33639,/media/352070/365.png,365,N/A,PoW/PoS,N/A,916,False,365,2300000000,N/A,/coins/365/overview
3DES,N/A,7605,3DES,3DES (3DES),0,304693,/media/12318014/3des.png,3DES,N/A,N/A,N/A,1581,False,3DES,35000000,N/A,/coins/3des/overview
404,Scrypt,N/A,404Coin,404Coin (404),0,21227,/media/351001/404.png,404,N/A,PoW/PoS,N/A,602,False,404,532000000,N/A,/coins/404/overview
42,Scrypt,N/A,42 Coin,42 Coin (42),0,4321,/media/12318415/42.png,42,N/A,PoW/PoS,N/A,34,False,42,42,N/A,/coins/42/overview
611,SHA256,N/A,SixEleven,SixEleven (611),0,20909,/media/350985/611.png,611,N/A,PoW,N/A,586,False,611,611000,N/A,/coins/611/overview
808,SHA256,N/A,808,808 (808),0,28223,/media/351513/808.png,808,N/A,PoW/PoS,N/A,750,False,808,N/A,N/A,/coins/808/overview
888,N/A,N/A,Octocoin,Octocoin (888),0,29462,/media/351639/888.png,888,N/A,PoW,N/A,811,False,888,135776563,N/A,/coins/888/overview
8BIT,Scrypt,N/A,8BIT Coin,8BIT Coin (8BIT),0,5327,/media/20176/8bit.png,8BIT,N/A,PoW/PoS,N/A,295,False,8BIT,0,N/A,/coins/8bit/overview
8BT,N/A,7605,8 Circuit Studios,8 Circuit Studios (8BT),0,177124,/media/1383698/8bt.png,8BT,N/A,N/A,0x20f4eb38c210490839cdd7bc60636171abb7bf94,1291,False,8BT,100000000,N/A,/coins/8bt/overview
AAC,ECC 256K1,7605,Acute Angle Cloud,Acute Angle Cloud (AAC),0,925291,/media/34478227/acuteangle.png,AAC,N/A,DPOS,0xe75ad3aab14e4b0df8c5da4286608dabb21bd864,3271,False,AAC,1000000000,N/A,/coins/aac/overview
ABC,N/A,7605,AB-Chain,AB-Chain (ABC),0,303943,/media/12318006/bac.png,ABC,N/A,N/A,0xec491c1088eae992b7a214efb0a266ad0927a72a,1577,False,ABC,210000000,N/A,/coins/abc/overview
